___stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
1608,______,1,NULL,0,0,10.35,'2013/09/13',NULL,NULL,NULL,'N'
1609,______,1,NULL,0,0,6.6,'2013/09/13',NULL,NULL,NULL,'N'
1611,______,1,NULL,0,0,14.4,'2013/09/13',NULL,NULL,NULL,'N'
1612,______,1,NULL,0,0,9.38,'2013/09/13',NULL,NULL,NULL,'N'
1613,______,1,NULL,0,0,4.9,'2013/09/13',NULL,NULL,'5.2','N'
1614,_________,1,NULL,0,0,32.45,'2013/09/13',"'3/18______H:18.8,L:17.8_______________'",NULL,NULL,'N'
1615,______,1,'2013/03/25',0.034266107,63,10,'2013/09/13',NULL,NULL,'5.1','N'
1616,______,1,NULL,0,0,5.18,'2013/09/13',NULL,NULL,NULL,'N'
1617,______,1,NULL,0,0,8.83,'2013/09/13',NULL,NULL,'5.2','N'
1618,______,1,NULL,0,0,9.98,'2013/09/13',NULL,NULL,NULL,'N'
1626,F-______,1,NULL,0,0,80.6,'2013/09/13',NULL,NULL,NULL,NULL
1701,______,1,NULL,0,0,22.25,'2013/09/13',NULL,NULL,NULL,'N'
1702,______,1,NULL,0,0,42,'2013/09/13',NULL,NULL,NULL,'N'
1704,______,1,'2013/04/23',0.043860939,48,36.75,'2013/09/13',NULL,NULL,NULL,'N'
1707,_________,1,NULL,0,0,133,'2013/09/13',NULL,NULL,NULL,'N'
1708,______,1,NULL,0,0,31.55,'2013/09/13',NULL,NULL,'3.1','N'
1709,______,1,NULL,0,0,13.7,'2013/09/13',NULL,NULL,'5.2','N'
1710,______,1,NULL,0,0,29.5,'2013/09/13',NULL,NULL,NULL,'N'
1711,______,1,NULL,0,0,23,'2013/09/13',NULL,NULL,'3.1a','N'
1712,______,1,'2013/04/12',0.023292743,61,14.65,'2013/09/13','____________4_______________ADX:11.58___21.62______KD+__________________________________________',NULL,NULL,'N'
1713,______,1,NULL,0,0,14.5,'2013/09/13',NULL,NULL,NULL,'N'
1714,______,1,NULL,0,0,13.7,'2013/09/13',NULL,NULL,NULL,'N'
1715,______,1,NULL,0,0,15.4,'2013/09/13',NULL,NULL,'5.2','N'
1716,______,1,NULL,0,0,41.5,'2010/12/21',NULL,NULL,NULL,'X'
1717,______,1,NULL,0,0,24.45,'2013/09/13',NULL,NULL,'2.3','N'
1718,______,1,NULL,0,0,12.1,'2013/09/13',NULL,NULL,'5.1a','N'
1720,______,1,NULL,0,0,46.5,'2013/09/13',NULL,NULL,'3.1','N'
1721,______,1,NULL,0,0,7.95,'2013/09/13',NULL,NULL,'3.1','N'
1722,______,1,'2013/04/08',0.033817549,58,70,'2013/09/13',NULL,NULL,'3.1a','N'
1723,______,1,NULL,0,0,173.5,'2013/09/13','_____________________________________________________________________','http://www.wretch.cc/blog/eagle99/11080063','5.1','N'
1724,______,1,NULL,0,0,16.3,'2013/09/13',NULL,NULL,NULL,'N'
1725,______,1,NULL,0,0,13.45,'2013/09/13',NULL,NULL,NULL,'N'
1726,______,1,NULL,0,0,69.6,'2013/09/13',NULL,NULL,NULL,'N'
1727,_________,1,NULL,0,0,17,'2013/09/13',NULL,NULL,NULL,'N'
1729,______,1,NULL,0,0,32.2,'2013/09/13',NULL,NULL,'3.1a','N'
1730,_________,1,NULL,0,0,19.55,'2013/09/13',NULL,NULL,NULL,'N'
1731,_________,1,'2013/03/29',0.044421178,32,14.65,'2013/09/13',NULL,NULL,NULL,'N'
1732,______,1,NULL,0,0,11.55,'2013/09/13',NULL,NULL,NULL,'N'
1733,______,1,NULL,0,0,75.4,'2013/09/13',NULL,NULL,'4.2','N'
1734,______,1,NULL,0,0,53.5,'2013/09/13',NULL,NULL,NULL,'N'
1735,_________,1,NULL,0,0,12.15,'2013/09/13',NULL,NULL,'3.1','N'
1736,______,1,NULL,0,0,96.7,'2013/09/13',NULL,NULL,NULL,'N'
1737,______,1,NULL,0,0,24.8,'2013/09/13',NULL,NULL,NULL,'N'
1742,______,2,NULL,0,0,16.85,'2013/09/13',NULL,NULL,'3.1;4.2;5.2','N'
1752,______,2,'2013/04/09',0.055630122,35,38.5,'2013/09/13',NULL,NULL,'3.1','N'
1762,_________,1,NULL,0,0,51.5,'2013/09/13',NULL,NULL,NULL,'N'
1773,______,1,NULL,0,0,47.05,'2013/09/13',NULL,NULL,'5.2','N'
1777,______,2,NULL,0,0,58.6,'2013/09/13',NULL,NULL,NULL,'N'
1781,______,2,NULL,0,0,45.1,'2013/09/13',NULL,NULL,NULL,'N'
1783,_________,1,'2014/02/07',0.195936478,1,0,NULL,NULL,NULL,NULL,NULL
1784,______,2,'2013/04/01',0.06808278,33,44.8,'2013/09/13',NULL,NULL,NULL,'N'
1785,_________,2,NULL,0,0,26,'2013/09/13',NULL,NULL,'3.1a','N'
1786,______,1,'2014/02/07',0.384321417,1,0,NULL,NULL,NULL,NULL,NULL
1787,_________,2,'2013/03/15',0.037220939,13,15.1,'2013/09/13',NULL,NULL,'5.2','N'
1788,______,2,NULL,0,0,85.1,'2013/09/13',NULL,NULL,'2.1;5.1','N'
1789,______,1,NULL,0,0,86.7,'2013/09/13',NULL,NULL,NULL,'N'
1795,______,2,'2013/03/29',0.144689595,49,52.3,'2013/09/13',NULL,NULL,NULL,'N'
1799,_________,2,NULL,0,0,15.4,'2013/09/13',NULL,NULL,NULL,'N'
1802,______,1,NULL,0,0,30.5,'2013/09/13',NULL,NULL,'3.1a','N'
1805,______,1,NULL,0,0,14.9,'2013/09/13',NULL,NULL,NULL,'N'
1806,______,1,NULL,0,0,12.3,'2013/09/13',NULL,NULL,'5.2','N'
1808,_________,1,NULL,0,0,32.9,'2013/09/13',NULL,NULL,'4.2;5.1','N'
1809,______,1,'2013/03/11',0.045437263,19,13.7,'2013/09/13',NULL,NULL,'3.1;5.2','N'
1810,______,1,'2013/03/26',0.040429798,52,9.42,'2013/09/13','__________________;ADX:14.85___21.13;___KD+;_____________________',NULL,NULL,'N'
1813,_________,2,NULL,0,0,43.2,'2013/09/13',NULL,NULL,NULL,'N'
1815,______,2,NULL,0,0,12.05,'2013/09/13',NULL,NULL,'5.2','N'
1817,_________,1,'2014/02/07',0.061243446,1,0,NULL,NULL,NULL,NULL,NULL
1902,______,1,'2013/03/15',0.029560293,52,12.65,'2013/09/13',NULL,NULL,'5.1','N'
1903,______,1,NULL,0,0,44.55,'2013/09/13',NULL,NULL,'3.1a','N'
1904,______,1,NULL,0,0,13.55,'2013/09/13',NULL,NULL,NULL,'N'
1905,______,1,NULL,0,0,9.22,'2013/09/13',NULL,NULL,NULL,'N'
1906,______,1,NULL,0,0,7.83,'2013/09/13',NULL,NULL,NULL,'N'
1907,_________,1,NULL,0,0,14.5,'2013/09/13',NULL,NULL,NULL,'N'
1909,______,1,NULL,0,0,11.35,'2013/09/13',NULL,NULL,'2.3;3.1','N'
2002,______,1,NULL,0,0,25.95,'2013/09/13',NULL,NULL,NULL,'N'
2002A,_________,1,NULL,0,0,40.05,'2013/09/13',NULL,NULL,NULL,'N'
2006,______,1,NULL,0,0,26.5,'2013/09/13',NULL,NULL,NULL,'N'
2007,______,1,NULL,0,0,7.16,'2013/09/13',NULL,NULL,'3.1','N'
2008,_________,1,NULL,0,0,10.95,'2013/09/13',NULL,NULL,'5.2','N'
2009,_________,1,NULL,0,0,9.02,'2013/09/13',NULL,NULL,NULL,'N'
2010,______,1,'2013/04/15',0.017147884,53,11.05,'2013/09/13',NULL,NULL,'5.2','N'
2012,______,1,NULL,0,0,11.55,'2013/09/13',NULL,NULL,NULL,'N'
2013,_________,1,NULL,0,0,35.25,'2013/09/13',NULL,NULL,NULL,'N'
2014,______,1,NULL,0,0,8.8,'2013/09/13',NULL,NULL,NULL,'N'
2015,______,1,'2013/03/13',0.028958591,46,52.6,'2013/09/13',NULL,NULL,NULL,'N'
2017,_________,1,NULL,0,0,6.83,'2013/09/13',NULL,NULL,NULL,'N'
2020,______,1,'2013/03/11',0.026821828,35,13.5,'2013/09/13',NULL,NULL,NULL,'N'
2022,______,1,NULL,0,0,5.76,'2013/09/13',NULL,NULL,NULL,'N'
2023,______,1,NULL,0,0,9.68,'2013/09/13',NULL,NULL,NULL,'N'
2024,______,1,'2013/04/19',0.041100211,48,6.15,'2013/09/13',NULL,NULL,NULL,'N'
2025,______,1,NULL,0,0,3.93,'2013/09/13',NULL,NULL,'5.1','N'
2027,_________,1,'2013/03/11',0.027182435,27,14,'2013/09/13',NULL,NULL,NULL,'N'
2028,______,1,'2013/04/16',0.051255192,31,4.95,'2013/09/13',NULL,NULL,NULL,'N'
2029,______,1,NULL,0,0,22.75,'2013/09/13',NULL,NULL,NULL,'N'
2030,______,1,NULL,0,0,9.96,'2013/09/13',NULL,NULL,'3.1a','N'
2031,_________,1,'2013/04/16',0.061818595,59,19.35,'2013/09/13',NULL,NULL,'3.1a','N'
2032,______,1,'2013/04/26',0.058501113,55,11.15,'2013/09/13',NULL,NULL,NULL,'N'
2033,______,1,NULL,0,0,10.8,'2013/09/13',NULL,NULL,NULL,'N'
2034,______,1,NULL,0,0,21.05,'2013/09/13',NULL,NULL,NULL,'N'
2035,______,2,NULL,0,0,29.3,'2013/09/13',NULL,NULL,NULL,'N'
2038,______,1,'2013/04/24',0.034088943,49,9.75,'2013/09/13',NULL,NULL,NULL,'N'
2049,______,1,NULL,0,0,203,'2013/09/13',NULL,NULL,'5.1','N'
2059,______,1,NULL,0,0,259.5,'2013/09/13',NULL,NULL,NULL,'N'
2061,______,2,NULL,0,0,14.8,'2013/09/13',NULL,NULL,NULL,'N'
2062,______,1,NULL,0,0,77.1,'2013/09/13',NULL,NULL,NULL,'N'
2063,______,2,NULL,0,0,25,'2013/09/13',NULL,NULL,NULL,'N'
2064,______,2,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
2066,______,2,'2014/02/07',0.083257273,1,0,NULL,NULL,NULL,NULL,NULL
2067,______,2,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL
2101,______,1,'2013/03/25',0.037323521,41,35.7,'2013/09/13',NULL,NULL,'3.1a','N'
2102,______,1,NULL,0,0,22.05,'2013/09/13',NULL,NULL,NULL,'N'
2103,______,1,NULL,0,0,54.1,'2013/09/13',NULL,NULL,NULL,'N'
2104,______,1,'2013/02/06',0.025632327,17,28.35,'2013/09/13','____________43%________________________',NULL,'3.1','N'
2105,______,1,NULL,0,0,77.2,'2013/09/13','_______________',NULL,NULL,'N'
2106,______,1,NULL,0,0,61.5,'2013/09/13',NULL,NULL,'3.1a','N'
2107,______,1,NULL,0,0,24.1,'2013/09/13',NULL,NULL,NULL,'N'
2108,______,1,'2013/03/07',0.030160156,14,19.35,'2013/09/13',NULL,NULL,NULL,'N'
2109,______,1,NULL,0,0,14.5,'2013/09/13',NULL,NULL,'3.1','N'
2114,_________,2,NULL,0,0,77.9,'2013/09/13',NULL,NULL,NULL,'N'
2115,F-______,1,'2014/02/07',0.167465394,1,0,NULL,NULL,NULL,NULL,NULL
2201,______,1,'2013/03/06',0.041153693,29,50,'2013/09/13',NULL,NULL,NULL,'N'
2204,______,1,NULL,0,0,26.35,'2013/09/13',NULL,NULL,NULL,'N'
2206,______,1,NULL,0,0,42,'2013/09/13',NULL,NULL,NULL,'N'
2207,_________,1,NULL,0,0,337.5,'2013/09/13',NULL,NULL,'5.1','N'
2208,______,1,NULL,0,0,18.35,'2013/09/13',NULL,NULL,NULL,'N'
2221,______,2,'2013/03/07',0.042199712,23,14.4,'2013/09/13',NULL,NULL,NULL,'N'
2227,_________,1,NULL,0,0,353,'2013/09/13',NULL,NULL,'5.2','N'
2228,______,1,'2014/02/07',0.274198961,1,0,NULL,NULL,NULL,NULL,NULL
