stockid,stkname,cl,minbw_dte,minbw,sqdays,price,dte,rmk,web,model,flgbasic
5340,建榮,2,2013-04-15 00:00:00.000,0.035874721949056,53,4.47,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5344,立衛,2,NULL,0,0,9.89,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5345,天揚,2,NULL,0,0,6,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5346,力晶,2,NULL,0,0,0.29,2012-12-10 00:00:00.000,小量跳空站上鉅量區。盤前先買進1半，因很可能漲停鎖死，停損點設在鉅量區低點4.45，意義是，全部套牢，先賣再說。,NULL,NULL,X
5347,世界,2,NULL,0,0,34.5,2013-09-13 00:00:00.000,"LCD,LED驅動IC",NULL,NULL,N
5348,系通,2,NULL,0,0,11.25,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5349,先豐,2,NULL,0,0,37.5,2013-09-13 00:00:00.000,NULL,NULL,2.3,N
5351,鈺創,2,NULL,0,0,12.15,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5353,台林,2,NULL,0,0,11.15,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5355,佳總,2,NULL,0,0,14.9,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5356,協益,2,NULL,0,0,55.1,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
5364,浩騰,2,NULL,0,0,2.28,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5371,中光電,2,2013-04-19 00:00:00.000,0.0514451328002708,34,24.75,2013-09-13 00:00:00.000,NULL,NULL,5.1,N
5381,合正,2,NULL,0,0,2.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
5383,金利,2,NULL,0,0,11.35,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5384,捷元,2,NULL,0,0,10.6,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5386,青雲,2,NULL,0,0,22.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5387,茂德,2,NULL,0,0,0.34,2011-09-05 00:00:00.000,NULL,NULL,NULL,X
5388,中磊,1,NULL,0,0,42,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5392,應華,2,NULL,0,0,49.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5395,普揚,2,2013-09-13 00:00:00.000,0,0,0,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5398,力瑋,2,NULL,0,0,22.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5403,中菲,2,NULL,0,0,23.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5410,國眾,2,NULL,0,0,12.15,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5425,台半,2,NULL,0,0,23.75,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5426,振發,2,NULL,0,0,12.6,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5432,達威,2,NULL,0,0,16.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5434,崇越,1,NULL,0,0,49.5,2013-09-13 00:00:00.000,NULL,NULL,2.3;3.1,N
5438,東友,2,NULL,0,0,9.92,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5439,高技,2,NULL,0,0,17.7,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5443,均豪,2,NULL,0,0,11.1,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5450,寶聯,2,NULL,0,0,17.75,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5452,佶優,2,NULL,0,0,11.45,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5455,訊利電,2,NULL,0,0,1.77,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5457,宣德,2,2013-04-16 00:00:00.000,0.0547979326227217,35,18.3,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5460,同協,2,NULL,0,0,11,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5464,霖宏,2,NULL,0,0,20.95,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5465,富驊,2,NULL,0,0,6.88,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5466,泰林,2,NULL,0,0,15.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5467,聯福生,2,NULL,0,0,2.67,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5468,凱鈺,2,NULL,0,0,8.18,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5469,瀚宇博,1,NULL,0,0,11.75,2013-09-13 00:00:00.000,買進。建立基本持股。,NULL,3.1,N
5471,松翰,1,2013-03-11 00:00:00.000,0.0234681977752805,19,38.9,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5474,聰泰,2,NULL,0,0,43.5,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5475,德宏,2,NULL,0,0,6.81,2013-09-13 00:00:00.000,NULL,NULL,3.1;5.2,N
5478,智冠,2,NULL,0,0,61.6,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5480,統盟,2,NULL,0,0,19.85,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5481,華韡,2,NULL,0,0,9.39,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5483,中美晶,2,NULL,0,0,38.7,2013-09-13 00:00:00.000,NULL,NULL,3.1,N
5484,慧友,1,NULL,0,0,11.2,2013-09-13 00:00:00.000,NULL,NULL,NULL,N
5487,通泰,2,NULL,0,0,18.8,2013-09-13 00:00:00.000,NULL,NULL,NULL,X
5488,松普,2,2013-04-26 00:00:00.000,0.0487579117996033,55,6,2013-09-13 00:00:00.000,NULL,NULL,3.1a;3.2,N
5489,彩富,2,NULL,0,0,61.2,2013-09-13 00:00:00.000,NULL,NULL,4.2,N
